
qseqid                      	sseqid       	pident	length	qlen	sstart 	send   
sp|Q06067|ATOS_ECOLI|395-602	NZ_CP046925.1	30.736	231	208	1163209	1163895
sp|P0AFB5|NTRB_ECOLI|136-349	NZ_CP046925.1	30.213	235	214	1163209	1163895
sp|P0DMC5|RCSC_ECOLI|476-692	NZ_CP046925.1	34.703	219	217	1227675	1228319
sp|P39453|TORS_ECOLI|450-664	NZ_CP046925.1	30.045	223	215	1227675	1228325
sp|P0AEC5|BARA_ECOLI|299-520	NZ_CP046925.1	35.909	220	222	1227678	1228310


qseqid                      	sseqid       	pident	length	qlen	sstart 	send   
sp|Q06067|ATOS_ECOLI|395-602	NZ_CP046925.1	30.736	231	208	1163209	1163895
sp|P0AFB5|NTRB_ECOLI|136-349	NZ_CP046925.1	30.213	235	214	1163209	1163895
sp|P0DMC5|RCSC_ECOLI|476-692	NZ_CP046925.1	34.703	219	217	1227675	1228319
sp|P39453|TORS_ECOLI|450-664	NZ_CP046925.1	30.045	223	215	1227675	1228325
sp|P0AEC5|BARA_ECOLI|299-520	NZ_CP046925.1	35.909	220	222	1227678	1228310

