
qseqid                      	sseqid       	pident	length	qlen	sstart 	send   
sp|P09835|UHPB_ECOLI|311-499	NZ_CP028828.1	42.408	191	189	621711	622277
sp|P30847|BAES_ECOLI|247-461	NZ_CP028827.1	30.392	204	215	2311872	2311279
sp|P30847|BAES_ECOLI|247-461	NZ_CP028827.1	30.137	219	215	2425262	2425906
sp|P30847|BAES_ECOLI|247-461	NZ_CP028828.1	30.317	221	215	472131	472757
sp|P52101|GLRK_ECOLI|256-472	NZ_CP028827.1	33.333	216	217	2425262	2425903
sp|P52101|GLRK_ECOLI|256-472	NZ_CP028827.1	30.088	226	217	160585	159953
sp|P76339|HPRS_ECOLI|242-452	NZ_CP028828.1	31.000	200	211	1063047	1062487
sp|P30844|BASS_ECOLI|149-357	NZ_CP028828.1	33.171	205	209	1063050	1062448
sp|P30844|BASS_ECOLI|149-357	NZ_CP028827.1	30.693	202	209	1682488	1683066
sp|P30844|BASS_ECOLI|149-357	NZ_CP028827.1	31.818	198	209	2311872	2311309
sp|P30844|BASS_ECOLI|149-357	NZ_CP028827.1	30.583	206	209	2783087	2782515
sp|P14377|ZRAS_ECOLI|251-458	NZ_CP028828.1	34.661	251	208	667250	666513
sp|P14377|ZRAS_ECOLI|251-458	NZ_CP028828.1	32.547	212	208	648778	648149
sp|P14377|ZRAS_ECOLI|251-458	NZ_CP028827.1	31.579	247	208	1934948	1934214
sp|P14377|ZRAS_ECOLI|251-458	NZ_CP028827.1	32.189	233	208	1933575	1932883
sp|P14377|ZRAS_ECOLI|251-458	NZ_CP028827.1	32.569	218	208	160588	159950
sp|P14377|ZRAS_ECOLI|251-458	NZ_CP028827.1	32.870	216	208	1543369	1542731
sp|P14377|ZRAS_ECOLI|251-458	NZ_CP028827.1	31.532	222	208	791595	792212
sp|P14377|ZRAS_ECOLI|251-458	NZ_CP028827.1	32.420	219	208	1447376	1448011
sp|P14377|ZRAS_ECOLI|251-458	NZ_CP028827.1	31.628	215	208	1647024	1646386
