
qseqid                      	sseqid     	pident	length	qlen	sstart 	send   
sp|P09835|UHPB_ECOLI|311-499	NC_008463.1	30.435	184	189	3468892	3468356
sp|P30847|BAES_ECOLI|247-461	NC_008463.1	33.838	198	215	2410183	2409608
sp|P30847|BAES_ECOLI|247-461	NC_008463.1	32.127	221	215	3888762	3889421
sp|P30847|BAES_ECOLI|247-461	NC_008463.1	30.288	208	215	6448754	6449362
sp|P30847|BAES_ECOLI|247-461	NC_008463.1	30.698	215	215	1977306	1976683
sp|P30847|BAES_ECOLI|247-461	NC_008463.1	32.432	222	215	4392231	4391587
sp|P30847|BAES_ECOLI|247-461	NC_008463.1	33.500	200	215	5637419	5637997
sp|P30847|BAES_ECOLI|247-461	NC_008463.1	30.415	217	215	3683597	3684232
sp|P30847|BAES_ECOLI|247-461	NC_008463.1	30.455	220	215	2391359	2390718
sp|P30847|BAES_ECOLI|247-461	NC_008463.1	30.698	215	215	4634183	4633572
sp|P30847|BAES_ECOLI|247-461	NC_008463.1	30.317	221	215	6087053	6087682
sp|P30847|BAES_ECOLI|247-461	NC_008463.1	31.222	221	215	4832131	4831502
sp|P52101|GLRK_ECOLI|256-472	NC_008463.1	34.247	219	217	2391359	2390721
sp|P52101|GLRK_ECOLI|256-472	NC_008463.1	33.632	223	217	5326241	5325591
sp|P52101|GLRK_ECOLI|256-472	NC_008463.1	30.088	226	217	1668910	1668251
sp|P52101|GLRK_ECOLI|256-472	NC_008463.1	30.942	223	217	2161573	2162223
sp|P52101|GLRK_ECOLI|256-472	NC_008463.1	30.088	226	217	3888762	3889418
sp|P52101|GLRK_ECOLI|256-472	NC_008463.1	30.172	232	217	5322052	5321399
sp|P76339|HPRS_ECOLI|242-452	NC_008463.1	43.299	194	211	5753223	5753804
sp|P76339|HPRS_ECOLI|242-452	NC_008463.1	34.259	216	211	4075634	4074990
sp|P76339|HPRS_ECOLI|242-452	NC_008463.1	35.052	194	211	2410183	2409614
sp|P76339|HPRS_ECOLI|242-452	NC_008463.1	32.710	214	211	2782092	2781457
sp|P76339|HPRS_ECOLI|242-452	NC_008463.1	30.653	199	211	5637419	5637994
sp|P30844|BASS_ECOLI|149-357	NC_008463.1	32.877	219	209	4832131	4831502
sp|P30844|BASS_ECOLI|149-357	NC_008463.1	33.186	226	209	4392231	4391584
sp|P30844|BASS_ECOLI|149-357	NC_008463.1	32.093	215	209	6448754	6449377
sp|P30844|BASS_ECOLI|149-357	NC_008463.1	31.122	196	209	1977306	1976731
sp|P30844|BASS_ECOLI|149-357	NC_008463.1	32.673	202	209	5637419	5637991
sp|P30844|BASS_ECOLI|149-357	NC_008463.1	32.843	204	209	4634183	4633617
sp|P30844|BASS_ECOLI|149-357	NC_008463.1	30.396	227	209	2410183	2409566
sp|P30844|BASS_ECOLI|149-357	NC_008463.1	31.373	204	209	3683597	3684169
sp|P30844|BASS_ECOLI|149-357	NC_008463.1	31.718	227	209	1070604	1071263
sp|P30844|BASS_ECOLI|149-357	NC_008463.1	31.000	200	209	3472269	3471703
sp|P14377|ZRAS_ECOLI|251-458	NC_008463.1	36.620	213	208	5578228	5578863
sp|P14377|ZRAS_ECOLI|251-458	NC_008463.1	33.198	247	208	2676774	2677508
sp|P14377|ZRAS_ECOLI|251-458	NC_008463.1	31.731	208	208	6448754	6449377
sp|P14377|ZRAS_ECOLI|251-458	NC_008463.1	33.990	203	208	832501	833106
sp|P14377|ZRAS_ECOLI|251-458	NC_008463.1	31.222	221	208	6044962	6045609
sp|P14377|ZRAS_ECOLI|251-458	NC_008463.1	31.579	209	208	5366790	5367407
sp|P14377|ZRAS_ECOLI|251-458	NC_008463.1	30.317	221	208	4288278	4288934
sp|P14377|ZRAS_ECOLI|251-458	NC_008463.1	30.045	223	208	4636675	4637331
sp|P14377|ZRAS_ECOLI|251-458	NC_008463.1	32.407	216	208	2391356	2390718
sp|P14377|ZRAS_ECOLI|251-458	NC_008463.1	31.776	214	208	1008023	1007397
sp|P14377|ZRAS_ECOLI|251-458	NC_008463.1	30.594	219	208	1977303	1976686
sp|P14377|ZRAS_ECOLI|251-458	NC_008463.1	31.364	220	208	4980706	4980053
sp|P14377|ZRAS_ECOLI|251-458	NC_008463.1	30.732	205	208	4460195	4459587
sp|P23837|PHOQ_ECOLI|274-480	NC_008463.1	45.588	204	207	4369919	4369314
